295.584, 130.566, 6.613,  6.788 False
295.364, 130.588, 6.643,  6.821 False
295.143, 130.610, 6.675,  6.854 False
294.921, 130.633, 6.706,  6.887 False
294.698, 130.655, 6.737,  6.920 False
294.474, 130.678, 6.768,  6.953 False
294.248, 130.700, 6.799,  6.986 False
294.022, 130.722, 6.829,  7.019 False
293.795, 130.743, 6.860,  7.052 False
293.566, 130.765, 6.890,  7.085 False
293.337, 130.786, 6.920,  7.118 False
293.106, 130.807, 6.949,  7.151 False
292.875, 130.829, 6.979,  7.184 False
292.643, 130.849, 7.008,  7.217 False
292.409, 130.870, 7.038,  7.250 False
292.175, 130.891, 7.067,  7.283 False
291.939, 130.912, 7.097,  7.316 False
291.703, 130.933, 7.126,  7.349 False
291.466, 130.953, 7.156,  7.382 False
291.227, 130.974, 7.185,  7.415 False
290.988, 130.994, 7.215,  7.448 False
290.747, 131.014, 7.244,  7.481 False
290.506, 131.034, 7.274,  7.514 False
290.264, 131.054, 7.303,  7.547 False
290.020, 131.073, 7.333,  7.580 False
289.776, 131.092, 7.362,  7.613 False
289.530, 131.111, 7.393,  7.646 False
289.284, 131.130, 7.422,  7.679 False
289.037, 131.149, 7.452,  7.712 False
288.788, 131.167, 7.480,  7.745 False
288.539, 131.186, 7.510,  7.778 False
288.288, 131.204, 7.539,  7.811 False
288.037, 131.220, 7.567,  7.844 False
287.784, 131.236, 7.595,  7.877 False
287.531, 131.251, 7.625,  7.910 False
287.276, 131.265, 7.654,  7.943 False
287.021, 131.278, 7.684,  7.976 False
286.764, 131.291, 7.713,  8.009 False
286.507, 131.304, 7.743,  8.042 False
286.248, 131.316, 7.772,  8.075 False
285.989, 131.326, 7.800,  8.108 False
285.728, 131.336, 7.829,  8.141 False
285.467, 131.345, 7.859,  8.174 False
285.204, 131.354, 7.888,  8.207 False
284.941, 131.362, 7.918,  8.240 False
284.676, 131.370, 7.947,  8.273 False
284.411, 131.378, 7.977,  8.306 False
284.144, 131.385, 8.006,  8.339 False
283.877, 131.392, 8.036,  8.372 False
283.608, 131.399, 8.065,  8.405 False
283.339, 131.405, 8.095,  8.438 False
283.068, 131.410, 8.124,  8.471 False
282.797, 131.414, 8.153,  8.504 False
282.524, 131.418, 8.182,  8.537 False
282.251, 131.422, 8.212,  8.570 False
281.976, 131.424, 8.237,  8.603 False
281.701, 131.427, 8.257,  8.636 False
281.426, 131.429, 8.273,  8.669 False
281.150, 131.432, 8.285,  8.702 False
280.874, 131.434, 8.295,  8.735 False
280.597, 131.435, 8.303,  8.768 False
280.320, 131.436, 8.310,  8.801 False
280.043, 131.436, 8.315,  8.834 False
279.766, 131.436, 8.320,  8.867 False
279.489, 131.435, 8.324,  8.900 False
279.211, 131.433, 8.328,  8.933 False
278.934, 131.431, 8.331,  8.966 False
278.656, 131.429, 8.334,  8.999 False
278.378, 131.427, 8.337,  9.032 False
278.101, 131.424, 8.338,  9.065 False
277.823, 131.420, 8.340,  9.098 False
277.545, 131.416, 8.342,  9.131 False
277.267, 131.413, 8.344,  9.164 False
276.989, 131.409, 8.345,  9.197 False
276.711, 131.405, 8.346,  9.230 False
276.433, 131.400, 8.347,  9.263 False
276.154, 131.395, 8.348,  9.296 False
275.876, 131.389, 8.348,  9.329 False
275.598, 131.382, 8.348,  9.362 False
275.320, 131.375, 8.349,  9.395 False
275.042, 131.368, 8.350,  9.428 False
274.764, 131.361, 8.350,  9.461 False
274.485, 131.354, 8.350,  9.494 False
274.207, 131.347, 8.351,  9.527 False
273.929, 131.339, 8.351,  9.560 False
273.651, 131.331, 8.351,  9.593 False
273.372, 131.323, 8.351,  9.626 False
273.094, 131.314, 8.351,  9.659 False
272.816, 131.305, 8.351,  9.692 False
272.538, 131.296, 8.351,  9.725 False
272.260, 131.287, 8.351,  9.758 False
271.982, 131.277, 8.351,  9.791 False
271.703, 131.268, 8.351,  9.824 False
271.425, 131.258, 8.350,  9.857 False
271.147, 131.248, 8.350,  9.890 False
270.869, 131.237, 8.350,  9.923 False
270.591, 131.227, 8.350,  9.956 False
270.313, 131.217, 8.350,  9.989 False
270.035, 131.205, 8.349, 10.022 False
269.757, 131.194, 8.349, 10.055 False
269.478, 131.182, 8.349, 10.088 False
269.200, 131.171, 8.349, 10.121 False
268.922, 131.159, 8.349, 10.154 False
268.644, 131.147, 8.348, 10.187 False
268.366, 131.136, 8.348, 10.220 False
268.088, 131.123, 8.348, 10.253 False
267.810, 131.111, 8.348, 10.286 False
267.532, 131.099, 8.347, 10.319 False
267.254, 131.086, 8.347, 10.352 False
266.977, 131.074, 8.347, 10.385 False
266.699, 131.061, 8.346, 10.418 False
266.421, 131.047, 8.346, 10.451 False
266.143, 131.034, 8.346, 10.484 False
265.865, 131.020, 8.346, 10.517 False
265.587, 131.007, 8.345, 10.550 False
265.309, 130.993, 8.345, 10.583 False
265.031, 130.979, 8.345, 10.616 False
264.754, 130.965, 8.345, 10.649 False
264.476, 130.952, 8.344, 10.682 False
264.198, 130.937, 8.344, 10.715 False
263.920, 130.922, 8.344, 10.748 False
263.643, 130.908, 8.344, 10.781 False
263.365, 130.893, 8.343, 10.814 False
263.087, 130.879, 8.343, 10.847 False
262.810, 130.864, 8.343, 10.880 False
262.532, 130.849, 8.343, 10.913 False
262.254, 130.834, 8.343, 10.946 False
261.976, 130.819, 8.342, 10.979 False
261.699, 130.804, 8.342, 11.012 False
261.421, 130.789, 8.342, 11.045 False
261.143, 130.774, 8.342, 11.078 False
260.866, 130.758, 8.341, 11.111 False
260.588, 130.742, 8.341, 11.144 False
260.311, 130.726, 8.341, 11.177 False
260.033, 130.711, 8.341, 11.210 False
259.756, 130.695, 8.341, 11.243 False
259.478, 130.679, 8.341, 11.276 False
259.200, 130.664, 8.340, 11.309 False
258.923, 130.648, 8.340, 11.342 False
258.645, 130.632, 8.340, 11.375 False
258.368, 130.616, 8.340, 11.408 False
258.090, 130.600, 8.340, 11.441 False
257.813, 130.584, 8.340, 11.474 False
257.535, 130.568, 8.339, 11.507 False
257.258, 130.552, 8.339, 11.540 False
256.980, 130.536, 8.339, 11.573 False
256.703, 130.520, 8.339, 11.606 False
256.425, 130.504, 8.339, 11.639 False
256.148, 130.488, 8.339, 11.672 False
255.870, 130.472, 8.339, 11.705 False
255.593, 130.456, 8.338, 11.738 False
255.315, 130.440, 8.338, 11.771 False
255.038, 130.424, 8.338, 11.804 False
254.760, 130.408, 8.338, 11.837 False
254.483, 130.391, 8.338, 11.870 False
254.205, 130.375, 8.338, 11.903 False
253.928, 130.359, 8.338, 11.936 False
253.650, 130.343, 8.338, 11.969 False
253.373, 130.327, 8.337, 12.002 False
253.095, 130.311, 8.337, 12.035 False
252.818, 130.295, 8.337, 12.068 False
252.541, 130.279, 8.337, 12.101 False
252.263, 130.263, 8.337, 12.134 False
251.986, 130.247, 8.337, 12.167 False
251.708, 130.231, 8.337, 12.200 False
251.431, 130.215, 8.337, 12.233 False
251.153, 130.200, 8.337, 12.266 False
250.876, 130.184, 8.337, 12.299 False
250.599, 130.168, 8.336, 12.332 False
250.321, 130.152, 8.336, 12.365 False
250.044, 130.137, 8.336, 12.398 False
249.766, 130.121, 8.336, 12.431 False
249.489, 130.105, 8.336, 12.464 False
249.211, 130.090, 8.336, 12.497 False
248.934, 130.074, 8.336, 12.530 False
248.657, 130.059, 8.336, 12.563 False
248.379, 130.043, 8.336, 12.596 False
248.102, 130.028, 8.336, 12.629 False
247.824, 130.013, 8.336, 12.662 False
247.547, 129.998, 8.336, 12.695 False
247.269, 129.982, 8.336, 12.728 False
246.992, 129.967, 8.335, 12.761 False
246.715, 129.952, 8.335, 12.794 False
246.437, 129.937, 8.335, 12.827 False
246.160, 129.922, 8.335, 12.860 False
245.882, 129.907, 8.335, 12.893 False
245.605, 129.893, 8.335, 12.926 False
245.327, 129.878, 8.335, 12.959 False
245.050, 129.863, 8.335, 12.992 False
244.772, 129.849, 8.335, 13.025 False
244.495, 129.834, 8.335, 13.058 False
244.218, 129.820, 8.335, 13.091 False
243.940, 129.805, 8.335, 13.124 False
243.663, 129.791, 8.335, 13.157 False
243.385, 129.777, 8.335, 13.190 False
243.108, 129.763, 8.335, 13.223 False
242.830, 129.749, 8.335, 13.256 False
242.553, 129.735, 8.335, 13.289 False
242.275, 129.721, 8.335, 13.322 False
241.998, 129.707, 8.335, 13.355 False
241.720, 129.693, 8.335, 13.388 False
241.443, 129.680, 8.334, 13.421 False
241.165, 129.666, 8.334, 13.454 False
240.888, 129.653, 8.334, 13.487 False
240.610, 129.640, 8.334, 13.520 False
240.333, 129.627, 8.334, 13.553 False
